symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
BTCUSD4,0.0000,0.000,0.0000,22882.5400,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ETHUSD4,0.0000,0.000,0.0000,1626.0300,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
XRPUSD,0.0000,0.000,0.0000,0.2970,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BCHUSD4,0.0000,0.000,0.0000,134.2000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
LTCUSD4,0.0000,0.000,0.0000,96.2100,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
USDTUSD4,0.0000,0.000,0.0000,1.0003,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BTCUSDT,-399.95000000,-1.432,27767.18915663,27912.37000000,27520.03000000,0.00024000,27520.05000000,0.00872000,27524.49000000,0.00023000,27919.98000000,27984.99000000,27400.00000000,131.16560000,3642100.02604260,1696778254221,1696864654221,25307766,25321960,14195
ETHUSDT,-40.74000000,-2.494,1609.48993787,1633.54000000,1592.57000000,0.02310000,1592.38000000,0.20000000,1593.56000000,0.11580000,1633.31000000,1638.62000000,1587.90000000,249.40150000,401409.20474000,1696778252243,1696864652243,15840660,15842516,1857
XRPUSDT,-0.01890000,-3.639,0.50795121,0.52090000,0.50050000,1780.00000000,0.50030000,1338.00000000,0.50060000,29910.00000000,0.51940000,0.51950000,0.49740000,222986.00000000,113266.00900000,1696778244220,1696864644220,914217,914753,537
BCHUSDT,-12.40000000,-5.412,223.76532304,229.00000000,216.70000000,0.05000000,216.60000000,1.10700000,216.90000000,17.69000000,229.10000000,229.80000000,215.40000000,115.43400000,25830.12630000,1696778249123,1696864649123,1739333,1739539,207
LTCUSDT,-2.07000000,-3.165,64.20182875,65.42000000,63.34000000,0.28500000,63.22000000,0.77500000,63.28000000,4.98600000,65.41000000,65.46000000,62.86000000,342.19000000,21969.22378000,1696778241211,1696864641211,3700821,3701141,321
BNBUSD4,0.0000,0.000,0.0000,325.6257,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BNBUSDT,-4.00000000,-1.891,210.19670880,211.70000000,207.50000000,3.48000000,207.40000000,5.15400000,207.70000000,3.75900000,211.50000000,211.90000000,206.30000000,324.89700000,68292.28010000,1696778240204,1696864640204,5209866,5210332,467
ETHBTC,-0.00058000,-0.992,0.05816240,0.05848000,0.05790000,0.00410000,0.05787000,0.29290000,0.05790000,1.00000000,0.05848000,0.05867000,0.05784000,10.96170000,0.63755879,1696778240201,1696864640201,5504617,5504926,310
XRPBTC,0.00000000,0.000,0.00000000,0.00000864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
BNBBTC,-0.00002300,-0.303,0.00757500,0.00757900,0.00755700,0.61000000,0.00751100,0.61200000,0.00754800,3.00000000,0.00758000,0.00760200,0.00749300,53.35100000,0.40413408,1696778225468,1696864625468,2875632,2875678,47
LTCBTC,-0.00003500,-1.492,0.00232168,0.00233800,0.00231100,5.43900000,0.00229700,4.00000000,0.00231000,0.20800000,0.00234600,0.00238500,0.00229500,146.58100000,0.34031388,1696778019157,1696864419157,1404227,1404447,221
BCHBTC,0.00017000,4.198,0.00343696,0.00411000,0.00422000,0.03600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00405000,0.00440000,0.00081000,56.77300000,0.19512629,1686154646436,1686241046436,708902,709027,126
ADAUSD4,0.0000,0.000,0.0000,0.3920,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BATUSD4,0.0000,0.000,0.0000,0.2843,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ETCUSD4,0.0000,0.000,0.0000,22.7276,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
XLMUSD4,0.0000,0.000,0.0000,0.0910,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ZRXUSD4,0.0000,0.000,0.0000,0.2525,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ADAUSDT,-0.00640000,-2.487,0.25469337,0.25720000,0.25090000,3000.00000000,0.25110000,1645.00000000,0.25150000,988.00000000,0.25730000,0.25820000,0.25040000,163556.70000000,41656.80775000,1696778260972,1696864660972,8034964,8036140,1177
BATUSDT,-0.00650000,-3.631,0.17696012,0.17770000,0.17250000,2288.00000000,0.17120000,2555.00000000,0.17390000,4219.00000000,0.17900000,0.18460000,0.16630000,23863.00000000,4222.79930000,1696778263281,1696864663281,1264556,1264681,126
ETCUSDT,0.08000000,0.528,15.14040697,15.18000000,15.24000000,2.95000000,14.89000000,0.81000000,15.25000000,42.15000000,15.16000000,15.76000000,14.55000000,187.73000000,2842.30860000,1696778253657,1696864653657,2172483,2172621,139
XLMUSDT,-0.00480000,-4.324,0.10888874,0.11070000,0.10620000,396.00000000,0.10610000,4993.00000000,0.10630000,520.00000000,0.11100000,0.11140000,0.10350000,221865.00000000,24158.59970000,1696778160779,1696864560779,2430926,2431241,316
ZRXUSDT,-0.02210000,-10.128,0.21978513,0.21350000,0.19610000,127.00000000,0.19390000,2128.00000000,0.19630000,18571.00000000,0.21820000,0.26360000,0.13330000,256921.00000000,56467.41540000,1696778262565,1696864662565,875699,876399,701
LINKUSD4,0.0000,0.000,0.0000,6.9647,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
RVNUSD4,0.0000,0.000,0.0000,0.0295,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
DASHUSD4,0.0000,0.000,0.0000,60.2100,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ZECUSD4,0.0000,0.000,0.0000,43.9600,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ALGOUSD4,0.0000,0.000,0.0000,0.2580,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
IOTAUSD4,0.0000,0.000,0.0000,0.2500,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BUSDUSD4,0.0000,0.000,0.0000,1.0005,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BTCBUSD,-372.00000000,-1.329,27755.37405646,27870.00000000,27608.80000000,0.03372000,27608.80000000,0.00362000,27746.99000000,0.00009000,27980.80000000,28299.81000000,27508.90000000,0.32341000,8976.36552360,1696778129607,1696864529607,3664179,3664269,91
DOGEUSDT,-0.00202000,-3.314,0.05934808,0.06103000,0.05893000,1348.00000000,0.05901000,4244.00000000,0.05904000,34886.00000000,0.06095000,0.06111000,0.05672000,483803.00000000,28712.77722000,1696778257506,1696864657506,11268129,11268599,471
WAVESUSD4,0.0000,0.000,0.0000,2.6353,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ATOMUSDT,-0.16000000,-2.323,6.86509255,6.89600000,6.72700000,59.20000000,6.73200000,6.99000000,6.75200000,12.00000000,6.88700000,6.98600000,6.67100000,1759.84000000,12081.46448000,1696778265422,1696864665422,4652542,4652837,296
ATOMUSD4,0.0000,0.000,0.0000,14.4280,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
NEOUSDT,-0.20000000,-2.817,7.01580631,7.13000000,6.90000000,7.11000000,6.85000000,95.59000000,6.88000000,491.23000000,7.10000000,7.17000000,6.87000000,67.84000000,475.95230000,1696778241192,1696864641192,1096410,1096455,46
NEOUSD4,0.0000,0.000,0.0000,8.7720,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
VETUSDT,-0.00055000,-3.226,0.01663327,0.01704000,0.01650000,299594.61000000,0.01650000,2520904.43000000,0.01652000,58410.70000000,0.01705000,0.01713000,0.01637000,1565829.22000000,26044.85366450,1696778160344,1696864560344,5698192,5698373,182
QTUMUSDT,-0.08900000,-3.968,2.20855435,2.24300000,2.15400000,9.60000000,2.05200000,249.80000000,2.19700000,32.60000000,2.24300000,2.28900000,2.15400000,27.60000000,60.95610000,1696778027365,1696864427365,856469,856476,8
QTUMUSD4,0.0000,0.000,0.0000,2.8040,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
NANOUSD,0.0000,0.000,0.0000,2.1240,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ICXUSD4,0.0000,0.000,0.0000,0.2397,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ENJUSD4,0.0000,0.000,0.0000,0.4568,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ONTUSD4,0.0000,0.000,0.0000,0.2301,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ONTUSDT,0.00230000,1.381,0.17216421,0.16660000,0.16890000,5.00000000,0.16190000,105.00000000,0.16890000,47.00000000,0.16660000,0.17490000,0.16290000,4554.00000000,784.03580000,1696778255305,1696864655305,874980,875014,35
ZILUSD4,0.0000,0.000,0.0000,0.0287,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ZILBUSD,0.00000000,0.000,0.00000000,0.02805000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
VETUSD4,0.0000,0.000,0.0000,0.0241,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BNBBUSD,-1.10000000,-0.518,210.35957757,210.80000000,211.40000000,0.04300000,210.00000000,0.01200000,211.40000000,0.13200000,212.50000000,214.60000000,207.70000000,1.37300000,288.82370000,1696777815913,1696864215913,1116193,1116216,24
XRPBUSD,0.00000000,0.000,0.00000000,0.30138000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
ETHBUSD,-56.41000000,-3.413,1637.23661219,1625.03000000,1596.60000000,0.09140000,1587.63000000,0.01020000,1628.67000000,0.01720000,1653.01000000,1676.99000000,1596.60000000,1.08920000,1783.27811800,1696769223665,1696855623665,2384697,2384752,56
ALGOBUSD,0.00000000,0.000,0.00000000,0.23440000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
XTZUSD4,0.0000,0.000,0.0000,1.1814,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
XTZBUSD,0.00000000,0.000,0.00000000,1.15000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
HBARUSD4,0.0000,0.000,0.0000,0.0699,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
HBARBUSD,-0.00150000,-2.308,0.05227301,0.03090000,0.06350000,1226.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06500000,0.06500000,0.04150000,5676.00000000,296.70160000,1686154668124,1686241068124,743965,743970,6
OMGUSD4,0.0000,0.000,0.0000,1.6934,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
OMGBUSD,0.00000000,0.000,0.00000000,1.66880000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
MATICUSD4,0.0000,0.000,0.0000,1.1954,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
MATICBUSD,0.00000000,0.000,0.00000000,1.13300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
XTZBTC,-0.00000083,-2.585,0.00003199,0.00003211,0.00003128,15.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00003211,0.00003317,0.00003128,4940.00000000,0.15805101,1686154664973,1686241064973,1144160,1144223,64
ADABTC,-0.00000003,-0.327,0.00000915,0.00000920,0.00000915,20.00000000,0.00000913,0.80000000,0.00000916,52.50000000,0.00000918,0.00000925,0.00000913,17584.70000000,0.16086311,1696776577100,1696862977100,2644468,2644513,46
REPBUSD,0.00000000,0.000,0.00000000,5.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
REPUSD,0.0000,0.000,0.0000,5.3400,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
EOSBUSD,0.00000000,0.000,0.00000000,1.17380000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
EOSUSD4,0.0000,0.000,0.0000,1.0900,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
DOGEUSD4,0.0000,0.000,0.0000,0.0918,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
KNCUSD4,0.0000,0.000,0.0000,0.8910,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
KNCUSDT,-0.01100000,-1.580,0.68686204,0.68100000,0.68500000,583.90000000,0.66800000,1009.80000000,0.68700000,27.30000000,0.69600000,0.71700000,0.65600000,1166.30000000,801.08720000,1696778252865,1696864652865,1050334,1050360,27
VTHOUSDT,-0.00004800,-4.138,0.00116299,0.00116000,0.00111200,71309.00000000,0.00111200,320029.00000000,0.00112400,61740.00000000,0.00116000,0.00120800,0.00111000,27572014.00000000,32065.96151900,1696777898898,1696864298898,4033295,4033674,380
VTHOUSD4,0.0000,0.000,0.0000,0.0012,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
USDCUSD4,0.0000,0.000,0.0000,1.0018,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
COMPUSDT,-1.18000000,-2.752,42.03220857,42.88000000,41.70000000,0.03000000,40.63000000,0.25800000,41.69000000,7.58500000,42.88000000,44.32000000,40.38000000,108.49100000,4560.11634000,1696778213775,1696864613775,909004,909114,111
COMPUSD4,0.0000,0.000,0.0000,52.0700,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
MANAUSD4,0.0000,0.000,0.0000,0.7261,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
HNTUSD4,0.0000,0.000,0.0000,2.9002,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
HNTUSDT,0.00000000,0.000,0.00000000,1.27000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
MKRUSD4,0.0000,0.000,0.0000,697.5119,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
MKRUSDT,-12.00000000,-0.868,1358.53348165,1400.00000000,1370.00000000,0.00590000,1360.00000000,0.00330000,1367.00000000,0.00180000,1382.00000000,1416.00000000,1341.00000000,36.81420000,50013.32330000,1696778264401,1696864664401,662257,662391,135
DAIUSD4,0.0000,0.000,0.0000,1.0005,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ONEUSDT,-0.00036000,-3.838,0.00913123,0.00930000,0.00902000,3496.50000000,0.00902000,45309.50000000,0.00912000,200702.00000000,0.00938000,0.00952000,0.00902000,1626780.70000000,14854.50299300,1696778235663,1696864635663,5531626,5531717,92
ONEUSD4,0.0000,0.000,0.0000,0.0264,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BANDUSDT,-0.01900000,-1.761,1.08929540,1.06700000,1.06000000,1.00000000,1.05100000,1157.40000000,1.07000000,3247.90000000,1.07900000,1.09600000,1.06000000,219.70000000,239.31820000,1696778255646,1696864655646,795320,795329,10
BANDUSD4,0.0000,0.000,0.0000,2.0780,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
STORJUSDT,0.04800000,10.206,0.51299929,0.47240000,0.51830000,58.00000000,0.51070000,931.00000000,0.51830000,892.00000000,0.47030000,0.53840000,0.46800000,27295.88000000,14002.76707100,1696777692996,1696864092996,1975490,1975729,240
STORJUSD4,0.0000,0.000,0.0000,0.4241,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BUSDUSDT,0.00000000,0.000,0.00000000,0.99930000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
UNIUSD4,0.0000,0.000,0.0000,6.8095,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
UNIUSDT,-0.17600000,-4.050,4.20995046,4.34200000,4.17000000,1.29000000,4.14700000,541.20000000,4.16000000,232.39000000,4.34600000,4.37000000,4.16600000,3653.08000000,15379.28581000,1696778231284,1696864631284,1846532,1846662,131
SOLUSD4,0.0000,0.000,0.0000,23.2867,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
SOLUSDT,-1.24000000,-5.292,22.74036330,23.40000000,22.19000000,4.10000000,22.30000000,20.00000000,22.32000000,10.00000000,23.43000000,23.55000000,22.02000000,6884.58000000,156557.85040000,1696778265960,1696864665960,8557312,8559593,2282
LINKBTC,-0.00000830,-3.019,0.00027645,0.00027450,0.00026660,43.68000000,0.00026660,0.40000000,0.00026790,101.29000000,0.00027490,0.00028380,0.00026660,2292.01000000,0.63363230,1696778259961,1696864659961,1593282,1593589,308
VETBTC,0.00000000,0.000,0.00000066,0.00000068,0.00000068,52219.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000068,0.00000073,0.00000043,2639122.00000000,1.72916300,1686154661797,1686241061797,1976576,1977078,503
UNIBTC,0.00000150,0.876,0.00017029,0.00017120,0.00017280,17.82000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00017130,0.00018260,0.00015860,2356.16000000,0.40123938,1686154658687,1686241058687,760018,760811,794
EGLDUSDT,-1.23000000,-5.062,24.04874385,24.30000000,23.07000000,5.00000000,23.15000000,59.15000000,23.33000000,55.17000000,24.30000000,24.47000000,23.06000000,101.66000000,2444.79530000,1696778266284,1696864666284,2179700,2179716,17
EGLDUSD4,0.0000,0.000,0.0000,44.9190,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
PAXGUSDT,8.00000000,0.430,1864.99901478,1850.00000000,1868.00000000,0.05310000,1855.00000000,0.00410000,1868.00000000,0.27720000,1860.00000000,1869.00000000,1860.00000000,0.10150000,189.29740000,1696778265039,1696864665039,88180,88187,8
PAXGUSD4,0.0000,0.000,0.0000,1860.1300,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
OXTUSDT,-0.00450000,-6.798,0.06503758,0.06500000,0.06170000,57.00000000,0.06250000,7469.00000000,0.06360000,9432.00000000,0.06620000,0.06730000,0.06170000,5607.00000000,364.66570000,1696778244011,1696864644011,1717065,1717091,27
OXTUSD4,0.0000,0.000,0.0000,0.0967,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ZENUSDT,-0.35000000,-4.370,7.90613977,7.99000000,7.66000000,0.73000000,7.65000000,54.24000000,7.67000000,0.73000000,8.01000000,8.09000000,7.64000000,669.52000000,5293.31870000,1696778099218,1696864499218,889796,890400,605
ZENUSD4,0.0000,0.000,0.0000,10.3240,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
BTCUSDC,-534.63000000,-1.909,27716.30594178,28008.82000000,27473.81000000,0.04231000,27476.47000000,0.00250000,27545.85000000,0.02000000,28008.44000000,28009.35000000,27405.10000000,3.43168000,95113.49277430,1696778264070,1696864664070,3288199,3288404,206
ONEBUSD,-0.00110000,-7.971,0.01320425,0.01234000,0.01270000,1574.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01380000,0.01380000,0.01270000,7378.10000000,97.42228000,1686154671197,1686241071197,630436,630444,9
FILUSDT,-0.16700000,-4.916,3.30359969,3.39700000,3.23000000,36.60000000,3.23300000,296.13000000,3.27400000,90.67000000,3.39700000,3.42800000,3.23000000,444.31000000,1467.82238000,1696778262039,1696864662039,391105,391128,24
FILUSD4,0.0000,0.000,0.0000,5.2700,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
AAVEUSDT,-1.75000000,-2.656,64.74065772,65.96000000,64.15000000,0.72400000,63.86000000,0.29800000,63.98000000,1.10500000,65.90000000,66.94000000,63.67000000,66.09200000,4278.83955000,1696778264116,1696864664116,683005,683162,158
AAVEUSD4,0.0000,0.000,0.0000,85.6100,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
GRTUSDT,-0.00220000,-2.570,0.08374474,0.08390000,0.08340000,15.00000000,0.08110000,370.00000000,0.08370000,358.00000000,0.08560000,0.08570000,0.08100000,13470.00000000,1128.04160000,1696778248692,1696864648692,135915,135938,24
GRTUSD4,0.0000,0.000,0.0000,0.1292,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
SUSHIUSD4,0.0000,0.000,0.0000,1.4250,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
ANKRUSD4,0.0000,0.000,0.0000,0.0285,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
AMPUSD,0.0000,0.000,0.0000,0.0081,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
SHIBUSDT,-0.00000029,-4.028,0.00000701,0.00000721,0.00000691,364762.00,0.00000690,522979191.00,0.00000693,1187740463.00,0.00000720,0.00000722,0.00000679,5076187264.00,35587.60085247,1696778261033,1696864661033,12674764,12675207,444
SHIBBUSD,0.00000000,0.000,0.00000000,0.00001078,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00000000,0.00000000,0.00,0.00000000,1683339785359,1683426185359,-1,-1,0
CRVUSDT,-0.01310000,-2.839,0.45081155,0.47470000,0.44840000,12.00000000,0.45090000,12613.50000000,0.45370000,189.00000000,0.46150000,0.47490000,0.44840000,30361.20000000,13687.17950000,1696778247828,1696864647828,759738,759873,136
CRVUSD4,0.0000,0.000,0.0000,1.0470,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.0000,0.0000,0.00000000,0.0000,1683339785359,1683426185359,-1,-1,0
